"","year","week","zone","trap_id","n","csu_id"
"1","2015","33","SE","FC-029GR",3,"CSU8495"
"2","2015","33","SE","FC-029GR",3,"CSU8394"
"3","2015","33","SE","FC-029GR",3,"CSU8393"
"4","2015","33","SE","FC-054",2,"CSU8493"
"5","2015","33","SE","FC-054",2,"CSU8494"
"6","2015","33","SE","FC-054",2,"CSU8392"
"7","2015","33","SW","FC-062",2,"CSU8398"
"8","2015","33","SW","FC-062",2,"CSU8502"
"9","2015","33","SW","FC-062",2,"CSU8503"
"10","2015","33","SW","FC-068",2,"CSU8397"
"11","2015","33","SW","FC-068",2,"CSU8498"
"12","2015","34","SW","FC-057",2,"CSU8619"
"13","2015","34","SW","FC-057",2,"CSU8401"
"14","2015","34","SW","FC-062",2,"CSU8621"
"15","2015","34","SW","FC-062",2,"CSU8399"
"16","2015","34","SW","FC-071",2,"CSU8403"
"17","2015","34","SW","FC-071",2,"CSU8622"
"18","2015","34","SW","FC-071",2,"CSU8623"
"19","2015","34","SW","FC-071",2,"CSU8402"
"20","2015","34","SW","FC-089GR",2,"CSU8618"
"21","2015","34","SW","FC-089GR",2,"CSU8400"
"22","2015","34","SW","FC-093",3,"CSU8405"
"23","2015","34","SW","FC-093",3,"CSU8404"
"24","2015","34","SW","FC-093",3,"CSU8624"
"25","2015","34","SW","FC-093",3,"CSU8625"
"26","2015","35","SW","FC-037",3,"CSU8742"
"27","2015","35","SW","FC-037",3,"CSU8407"
"28","2015","35","SW","FC-037",3,"CSU8406"
"29","2016","26","NE","FC-066GR",2,"CSU9035"
"30","2016","26","NE","FC-066GR",2,"CSU8984"
"31","2016","26","NE","FC-066GR",2,"CSU8985"
"32","2017","33","NE","FC-040GR",2,"CSU11288"
"33","2017","33","NE","FC-040GR",2,"CSU11289"
"34","2017","33","NE","FC-040GR",2,"CSU11241"
"35","2020","29","NE","FC-014",2,"CSU14640"
"36","2020","29","NE","FC-014",2,"CSU14544"
"37","2020","29","NE","FC-014",2,"CSU14545"
